label,Name
DNA1+|DNA2+|CD123+|HLADR-,basophils
DNA1+|DNA2+|CD14-|CD33-,lymphocytes
DNA1+|DNA2+|CD14-|CD33-|CD3-,non-T lymphocytes
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+,NK cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|CD161-,CD161- NK cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|CD161+,CD161+ NK cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|CD57-,CD57- NK cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|CD57+,CD57+ NK cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|CD94-,CD94- NK cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|CD94+,CD94+ NK cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|HLADR-,HLADR- NK cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|HLADR+,HLADR+ NK cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+,B cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|CD24-|CD38+,naive B cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|CD24+|CD38-,memory B cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|CD24+|CD38+,transitional B cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|IgD-|CD27-,IgD-CD27- B cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|IgD-|CD27+,IgD-CD27+ B cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|IgD+|CD27-,IgD+CD27- B cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD19+|CD20+|IgD+|CD27+,IgD+CD27+ B cells
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD20-,CD20- CD3- lymphocytes
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD20-|CD27+|CD38+,plasmablasts
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD56+|CD16-,CD16-CD56bright NK cells
DNA1+|DNA2+|CD14-|CD33-|CD3+,T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4-|CD8+|CD57-,CD57-CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4-|CD8+|CD57+,CD57+CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4-|CD8+|ICOS-,ICOS-CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4-|CD8+|ICOS+,ICOS+CD8+ T cell
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4-|CD8+|PD1-,PD1-CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4-|CD8+|PD1+,PD1+CD8+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+,CD4+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CCR7-|CD45RA-,effector memory CD4+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CCR7-|CD45RA+,effector CD4+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CCR7+|CD45RA-,central memory CD4+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CCR7+|CD45RA+,naive CD4+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CD161-,CD161-CD4+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CD161+,CD161+CD4+ T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CD25+|CD127-,Tregs
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CD25+|CD127-|CD161-|CD45RA-,CD161-CD45RA- Tregs
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CD25+|CD127-|CD161-|CD45RA+,CD161-CD45RA+ Tregs
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CD25+|CD127-|CD161+|CD45RA-,CD161+CD45RA- Tregs
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CD25+|CD127-|CD161+|CD45RA+,CD161+CD45RA+ Tregs
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CD27-,CD4+CD27- T cells
DNA1+|DNA2+|CD14-|CD33-|CD3+|CD4+|CD27+,CD4+CD27+ T cells
