label,Name,ES829402,ES829403,ES829404,ES829405,ES829406,ES829407,ES829408,ES829409,ES829410,ES829411,ES829412,ES829413,ES829414,ES829415,ES829416,ES829417,ES829418,ES829419,ES829420,ES829421,ES829422,ES829423,ES829424,ES829425,ES829426,ES829427,ES829428,ES829429,ES829430,ES829431,ES829432,ES829433,ES829434,ES829435,ES829436,ES829437,ES829438,ES829439,ES829440,ES829441,ES829442,ES829443,ES829444,ES829445,ES829446,ES829447,ES829448,ES829449,ES829450,ES829451,ES829452,ES829453,ES829454,ES829455,ES829456,ES829457,ES829458,ES829459,ES829460,ES829461,ES829462,ES829463,ES829464,ES829465,ES829466,ES829467,ES829468,ES829471,ES829472,ES829473,ES829474
DNA1+|DNA2+|CD123+|HLADR-,basophils,0.005051282,0.010866667,0.00508805,0.009432292,0.009806053,0.008238095,0.002464115,0.014014493,0.003170103,0.016554404,0.00508871,0.000668317,0.008483871,0.00056875,0.003339394,0.00160177,0.002282051,0.003943478,0.001954128,0.008869565,0.018527273,0.003452055,0.001485915,0.007726619,0.003174359,0.013846939,0.002361963,0.004949074,0.0041,0.005127119,0.0015,0.009703297,0.009699301,0.00997561,0.006823834,0.002645161,0.004577778,0.004937173,0.006517442,0.002224044,0.007468571,0.000621622,0.01586802,0.004633333,0.005668103,0.005642202,0.017477612,0.00514717,0.010528634,0.005310345,0.001175676,0.001553633,0.008608911,0.010108434,0.002006757,0.002260504,0.006813559,0.00256338,0.002664,0.008746411,0.003838298,0.01311399,0.011090196,0.008158824,0.004888268,0.006468085,0.012177474,0.00111811,0.001577236,0.001984496,0.001396945
DNA1+|DNA2+|CD14-|CD33-,lymphocytes,0.461538462,0.604558333,0.59654717,0.458291667,0.558303045,0.588642857,0.502392344,0.52173913,0.654639175,0.418932642,0.471790323,0.608910891,0.506655914,0.484375,0.618181818,0.601769912,0.543589744,0.495652174,0.566247706,0.549521739,0.415327273,0.557077626,0.475352113,0.474820144,0.48014359,0.464423469,0.550404908,0.564814815,0.584913333,0.430305085,0.442240385,0.477741758,0.464398601,0.481404878,0.50107772,0.531532258,0.537037037,0.437586387,0.497430233,0.606557377,0.472468571,0.513513514,0.479954315,0.595238095,0.594827586,0.591743119,0.588634328,0.449056604,0.625550661,0.551724138,0.585585586,0.591695502,0.39779703,0.553789157,0.555263514,0.546218487,0.473220339,0.482922535,0.588568,0.448248804,0.50212766,0.601036269,0.607843137,0.549623529,0.511653631,0.557446809,0.529010239,0.570622047,0.600276423,0.548062016,0.56071143
DNA1+|DNA2+|CD14-|CD33-|CD3-,non-T lymphocytes,0.210337607,0.130266667,0.130955975,0.178375,0.129332215,0.091198413,0.143406699,0.141193237,0.123701031,0.177233161,0.20091129,0.138153465,0.099172043,0.131821875,0.111915152,0.148269912,0.207241026,0.107121739,0.087715596,0.08434058,0.172278788,0.24056621,0.209323944,0.150374101,0.135523077,0.154785714,0.197325153,0.187449074,0.19772,0.135610169,0.1670625,0.155208791,0.158664336,0.102243902,0.145088083,0.19461828,0.119596296,0.128141361,0.284081395,0.117409836,0.131211429,0.132903475,0.227345178,0.235,0.171551724,0.150651376,0.167813433,0.180671698,0.121933921,0.112599138,0.143806306,0.073207612,0.134113861,0.139126506,0.185608108,0.164571429,0.091025424,0.159408451,0.133616,0.143339713,0.142889362,0.20680829,0.176756863,0.157711765,0.11547486,0.196365957,0.149832765,0.097220472,0.094829268,0.111317829,0.088311215
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+,NK cells,0.116029915,0.032425,0.050654088,0.021901042,0.046690069,0.033238095,0.046818182,0.027729469,0.057814433,0.069119171,0.11775,0.073910891,0.035650538,0.0510875,0.018327273,0.042442478,0.080851282,0.024413043,0.033477064,0.020724638,0.055272727,0.151401826,0.084929577,0.077823741,0.033133333,0.08855102,0.111226994,0.073083333,0.10114,0.03909322,0.0456875,0.026203297,0.085734266,0.022873171,0.057025907,0.081704301,0.020585185,0.065968586,0.170906977,0.032431694,0.050194286,0.033853282,0.083680203,0.118538095,0.074715517,0.033201835,0.071007463,0.094562264,0.05185022,0.03137931,0.058882883,0.019525952,0.03480198,0.049512048,0.048027027,0.065773109,0.020415254,0.05278169,0.02104,0.041909091,0.030361702,0.062678756,0.063458824,0.032782353,0.043921788,0.045323404,0.04140273,0.026874016,0.030414634,0.029782946,0.020194965
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|CD161-,CD161- NK cells,0.070384615,0.020133333,0.028616352,0.013041667,0.021465627,0.016809524,0.024392344,0.019057971,0.029175258,0.024481865,0.086879032,0.037554455,0.027919355,0.02931875,0.008915152,0.026588496,0.035194872,0.01146087,0.017183486,0.009268116,0.029072727,0.05813242,0.032056338,0.021478417,0.016702564,0.044153061,0.028349693,0.043490741,0.03676,0.012932203,0.019086538,0.012967033,0.016034965,0.008746341,0.02419171,0.038413978,0.00922963,0.037413613,0.084819767,0.021781421,0.013851429,0.012146718,0.033116751,0.016814286,0.03025,0.019454128,0.017932836,0.035369811,0.028788546,0.016556034,0.026216216,0.00983391,0.005519802,0.022415663,0.016851351,0.030802521,0.007932203,0.026035211,0.01176,0.021641148,0.010846809,0.023098446,0.037905882,0.015329412,0.019184358,0.013438298,0.024682594,0.012062992,0.015780488,0.015023256,0.009576159
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|CD161+,CD161+ NK cells,0.045645299,0.012291667,0.022037736,0.008859375,0.025224442,0.016428571,0.022425837,0.008671498,0.028639175,0.044637306,0.030870968,0.036356436,0.007731183,0.02176875,0.009412121,0.015853982,0.04565641,0.012952174,0.016293578,0.011456522,0.0262,0.093269406,0.052873239,0.056345324,0.016430769,0.044397959,0.082877301,0.029592593,0.06438,0.026161017,0.026600962,0.013236264,0.069699301,0.014126829,0.032834197,0.043290323,0.011355556,0.028554974,0.086087209,0.010650273,0.036342857,0.021706564,0.050563452,0.10172381,0.044465517,0.013747706,0.053074627,0.059192453,0.023061674,0.014823276,0.032666667,0.009692042,0.029282178,0.027096386,0.031175676,0.034970588,0.012483051,0.026746479,0.00928,0.020267943,0.019514894,0.039580311,0.025552941,0.017452941,0.02473743,0.031885106,0.016720137,0.014811024,0.014634146,0.01475969,0.010618806
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|CD57-,CD57- NK cells,0.056162393,0.013825,0.022660377,0.014807292,0.028113448,0.013785714,0.018985646,0.017048309,0.029159794,0.021119171,0.018822581,0.012841584,0.009967742,0.008309375,0.010424242,0.009389381,0.049441026,0.01393913,0.009577982,0.008905797,0.024072727,0.050753425,0.02381338,0.03555036,0.010610256,0.033887755,0.038441718,0.042587963,0.0443,0.013381356,0.019048077,0.011203297,0.041174825,0.014453659,0.022419689,0.013741935,0.007222222,0.010858639,0.036459302,0.007486339,0.016857143,0.014050193,0.038837563,0.035709524,0.043926724,0.007600917,0.050089552,0.05105283,0.01260793,0.019853448,0.02240991,0.012775087,0.010163366,0.022493976,0.021567568,0.02505042,0.007830508,0.016352113,0.013,0.023617225,0.017668085,0.038725389,0.031384314,0.0215,0.016620112,0.024076596,0.009440273,0.009826772,0.011520325,0.010651163,0.007197303
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|CD57+,CD57+ NK cells,0.059867521,0.0186,0.027993711,0.00709375,0.018576621,0.019452381,0.027832536,0.010681159,0.028654639,0.048,0.098927419,0.061069307,0.025682796,0.042778125,0.00790303,0.033053097,0.031410256,0.010473913,0.023899083,0.011818841,0.0312,0.100648402,0.061116197,0.042273381,0.022523077,0.054663265,0.072785276,0.03049537,0.05684,0.025711864,0.026639423,0.015,0.044559441,0.008419512,0.034606218,0.067962366,0.013362963,0.055109948,0.134447674,0.024945355,0.033337143,0.019803089,0.04484264,0.082828571,0.030788793,0.025600917,0.02091791,0.043509434,0.039242291,0.011525862,0.036472973,0.006750865,0.024638614,0.027018072,0.026459459,0.040722689,0.012584746,0.036429577,0.00804,0.018291866,0.012693617,0.023953368,0.03207451,0.011282353,0.027301676,0.021246809,0.031962457,0.017047244,0.018894309,0.019131783,0.012997662
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|CD94-,CD94- NK cells,0.022192308,0.00335,0.016578616,0.001828125,0.007755791,0.008087302,0.006248804,0.002497585,0.007525773,0.029098446,0.063,0.011376238,0.012768817,0.017553125,0.006248485,0.01619469,0.015866667,0.007191304,0.002733945,0.003289855,0.006648485,0.006794521,0.025556338,0.010978417,0.006010256,0.005673469,0.013877301,0.021467593,0.026986667,0.004779661,0.007865385,0.00517033,0.009265734,0.003214634,0.004984456,0.004478495,0.005011111,0.008963351,0.005209302,0.004114754,0.012857143,0.005389961,0.009385787,0.004738095,0.004465517,0.002940367,0.004813433,0.010973585,0.0019163,0.008112069,0.012328829,0.002276817,0.001821782,0.010433735,0.007952703,0.011634454,0.002194915,0.004429577,0.001464,0.006066986,0.002846809,0.012751295,0.009541176,0.002217647,0.002977654,0.00506383,0.002327645,0.006787402,0.00801626,0.009496124,0.003148188
DNA1+|DNA2+|CD14-|CD33-|CD3-|CD16+|CD56+|CD94+,CD94+ NK cells,0.093837607,0.029075,0.034075472,0.020072917,0.038934278,0.025150794,0.040569378,0.025231884,0.05028866,0.040020725,0.05475,0.062534653,0.02288172,0.033534375,0.012078788,0.026247788,0.064984615,0.017221739,0.030743119,0.017434783,0.048624242,0.144607306,0.059373239,0.066845324,0.027123077,0.082877551,0.097349693,0.051615741,0.074153333,0.034313559,0.037822115,0.021032967,0.076468531,0.019658537,0.052041451,0.077225806,0.015574074,0.057005236,0.165697674,0.02831694,0.037337143,0.02846332,0.074294416,0.1138,0.07025,0.030261468,0.06619403,0.083588679,0.049933921,0.023267241,0.046554054,0.017249135,0.032980198,0.039078313,0.040074324,0.054138655,0.018220339,0.048352113,0.019576,0.035842105,0.027514894,0.049927461,0.053917647,0.030564706,0.040944134,0.040259574,0.039075085,0.020086614,0.022398374,0.020286822,0.017046777
